state,basin,well_name_anp,well_name_operator,field,operator,contract_number,period,oil,condensate,petroleum,gas_associate,gas_non_associate,total_gas,volume_gas_royalties,water,installation_destination,installation_type,production_time
Rio Grande do Norte,Potiguar,7UB  0007D RNS      ,7UB  0007D RNS      ,UBARANA,Petrobras,4.8E+14,2016/04,2.0014,0,2.0014,0.2453,0,0.2453,7.36006,0.0168,PLATAFORMA DE UBARANA 1,UEP,456
Sergipe,Sergipe,7GA  0007D SES      ,7GA  0007D SES      ,GUARICEMA,Petrobras,4.8E+14,2016/04,96.9803,0,96.9803,16.2989,0,16.2989,0,0.5826,PLATAFORMA PGA-01 DE GUARICEMA,UEP,717
Sergipe,Sergipe,1SES 0019DASE       ,1SES 0019DASE       ,TATUI,Petrobras,4.8E+14,2016/04,78.7815,0,78.7815,2.2412,0,2.2412,66.8561,7.0341,Estação Prod. Atalaia (EPA),INSTALACAO EMB/DESEMB,704
Sergipe,Sergipe,7CB  0010D SES      ,7CB  0010D SES      ,CAIOBA,Petrobras,4.8E+14,2016/04,0,0,0,0,14.8793,14.8793,445.10182,0,PLATAFORMA PCB-01 DE CAIOBA,UEP,700
Sergipe,Sergipe,7GA  0025D SES      ,7GA  0025D SES      ,GUARICEMA,Petrobras,4.8E+14,2016/04,477.1343,0,477.1343,63.8908,0,63.8908,0,0.8447,PLATAFORMA PGA-03 DE GUARICEMA,UEP,713
Sergipe,Sergipe,7CB  0008D SES      ,7CB  0008D SES      ,CAIOBA,Petrobras,4.8E+14,2016/04,0,74.6588,74.6588,0,24.0232,24.0232,718.63412,0,PLATAFORMA PCB-01 DE CAIOBA,UEP,720
Sergipe,Sergipe,7CB  0011D SES      ,7CB  0011D SES      ,CAIOBA,Petrobras,4.8E+14,2016/04,0,0,0,0,19.3413,19.3413,578.57664,0,PLATAFORMA PCB-01 DE CAIOBA,UEP,720
Sergipe,Sergipe,7CM  0009D SES      ,7CM  0009D SES      ,CAMORIM,Petrobras,4.8E+14,2016/04,15.3608,0,15.3608,6.9062,0,6.9062,205.97943,0.5944,PLATAFORMA PCM-01 DE CAMORIM,UEP,719
Sergipe,Sergipe,7CM  0010  SES      ,7CM  0010  SES      ,CAMORIM,Petrobras,4.8E+14,2016/04,49.4425,0,49.4425,58.558,0,58.558,1746.51535,58.0375,PLATAFORMA PCM-02 DE CAMORIM,UEP,717
Sergipe,Sergipe,3GA  0002  SES      ,3GA  0002  SES      ,GUARICEMA,Petrobras,4.8E+14,2016/04,34.621,0,34.621,1.2997,0,1.2997,0,0.3139,PLATAFORMA PGA-01 DE GUARICEMA,UEP,719
Sergipe,Sergipe,7GA  0004D SES      ,7GA  0004D SES      ,GUARICEMA,Petrobras,4.8E+14,2016/04,0,0,0,94.1458,0,94.1458,0,0,PLATAFORMA PGA-01 DE GUARICEMA,UEP,713
Sergipe,Sergipe,7CB  0003D SES      ,7CB  0003D SES      ,CAIOBA,Petrobras,4.8E+14,2016/04,0,0,0,0,13.8256,13.8256,413.58094,0,PLATAFORMA PCB-01 DE CAIOBA,UEP,699
Rio Grande do Norte,Potiguar,7UB  0018D RNS      ,7UB  0018D RNS      ,UBARANA,Petrobras,4.8E+14,2016/04,91.6857,0,91.6857,7.5371,0,7.5371,226.11429,274.0791,PLATAFORMA DE UBARANA 3,UEP,697
Rio de Janeiro,Campos,1RJS 0090  RJ       ,1RJS 0090  RJ       ,VIOLA,Petrobras,4.8E+14,2016/04,1034.9249,0,1034.9249,4.9252,0,4.9252,143.25715,1282.8195,PLATAFORMA DE GAROUPA,UEP,669
Sergipe,Sergipe,7CB  0018D SES      ,7CB  0018D SES      ,CAIOBA,Petrobras,4.8E+14,2016/04,0,8.386,8.386,0,64.1467,64.1467,1918.8915,198.6423,PLATAFORMA PCB-02 DE CAIOBA,UEP,718
Ceará,Ceará,7XA  0004D CES      ,7XA  0004D CES      ,XARÉU,Petrobras,4.8E+14,2016/04,95.998,0,95.998,0.5231,0,0.5231,15.69151,114.6496,PLATAFORMA DE XAREU 1,UEP,720
Rio Grande do Norte,Potiguar,7UB  0014  RNS      ,7UB  0014  RNS      ,UBARANA,Petrobras,4.8E+14,2016/04,86.6111,0,86.6111,6.1958,0,6.1958,185.87345,155.5592,PLATAFORMA DE UBARANA 3,UEP,584
Rio de Janeiro,Campos,3PM  0001A RJS      ,3PM  0001A RJS      ,PAMPO,Petrobras,4.8E+14,2016/04,563.7295,0,563.7295,3.4048,0,3.4048,101.98673,3070.7611,PLATAFORMA DE PAMPO-1,UEP,714
Sergipe,Sergipe,7CM  0027D SES      ,7CM  0027D SES      ,CAMORIM,Petrobras,4.8E+14,2016/04,40.5764,0,40.5764,1.6713,0,1.6713,49.84864,5.0119,PLATAFORMA PCM-03 DE CAMORIM,UEP,720
Rio Grande do Norte,Potiguar,7UB  0017D RNS      ,7UB  0017D RNS      ,UBARANA,Petrobras,4.8E+14,2016/04,32.3535,0,32.3535,6.2627,0,6.2627,187.88051,684.807,PLATAFORMA DE UBARANA 3,UEP,551
Rio Grande do Norte,Potiguar,7AG  0003  RNS      ,7AG  0003  RNS      ,AGULHA,Petrobras,4.8E+14,2016/04,1.2613,0,1.2613,0.0172,0,0.0172,0.5149,365.3245,PLATAFORMA DE AGULHA 1,UEP,497
Bahia,Recôncavo,7C   0174D BA       ,7C   0174D BA       ,CANDEIAS,Petrobras,4.8E+14,2016/04,13.1394,0,13.1394,1.8458,0,1.8458,44.04917,0.0233,Estação Pedra Branca,INSTALACAO EMB/DESEMB,711
